id,Country,RegionOfOrigin,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
46,ANGOLA,South Asia,..,..,..,..,..,1,1,1,..,..,2,2,4,6,11,10,14,10,8,7.5,10.3,9.4,6.7,6.2,8.6
47,ANGOLA,Other not classified,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
49,ANGUILLA,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
50,ANGUILLA,Americas,35,34,37,33,33,33,39,37,39,45,52,62,64,57,49,53,57,55.3,60,61,63.1,67.4,57.1,45.8,80.8
51,ANGUILLA,East Asia and the Pacific,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
52,ANGUILLA,Europe,2,3,5,10,12,9,8,5,6,8,8,9,11,9,7,8,8,7.2,7,8,7.9,8.9,8.4,6.2,10.7
53,ANGUILLA,Middle East,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
54,ANGUILLA,South Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
55,ANGUILLA,Other not classified,1,1,1,1,2,1,1,1,1,2,2,2,3,2,2,1,1,2.2,2,2,2.2,2.9,2.7,2.5,3.9
57,ANTIGUA AND BARBUDA,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,0.5,0.6,0.6
58,ANTIGUA AND BARBUDA,Americas,124,128,138,134,115,107,107,108,122,129,128,139,141,152,138.5,138.5,146.6,154.3,152,155,151,165.9,153.2,176.3,197.8
59,ANTIGUA AND BARBUDA,East Asia and the Pacific,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.3,1.4,1.5,2,2,2.1,2.2,2.3,2.8
60,ANTIGUA AND BARBUDA,Europe,84,88,90,88,87,90,78,82,99,113,108,107,115,110,93.4,89,92,90,88,91,96,96.1,90.5,88.8,98.2
61,ANTIGUA AND BARBUDA,Middle East,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,0.1,0.2,0.1,0.5
62,ANTIGUA AND BARBUDA,South Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.4,0.5,0.6,0.7,1
63,ANTIGUA AND BARBUDA,Other not classified,4,4,4,4,6,9,8,8,4,3,9,8,6,4,2.3,2.4,1.3,1.3,1.3,1,..,..,0.2,0.1,0.2
65,ARGENTINA,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.4,14,16.1,15.1
66,ARGENTINA,Americas,1988,2252,2378,2595,2491,2480,2157,2420,2425,2722,2984,3283,3609,3710,3392,5540.3,5461.5,5318.2,5386.6,6016.6,5655.6,5446.8,5512.5,5692.1,6043.8
67,ARGENTINA,East Asia and the Pacific,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,209,210.7,226.8,231.5
68,ARGENTINA,Europe,248,299,320,344,337,354,371,324,456,546,631,662,738,766,722,998.2,969.5,911.7,865.9,891.2,895.9,989.5,963.6,994.9,1096.5
69,ARGENTINA,Middle East,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,0.8,1,0.8
70,ARGENTINA,South Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.3,7.9,9.4,9.8
71,ARGENTINA,Other not classified,52,63,66,73,71,75,92,77,115,188,208,228,215,224,194,261.1,272,267.3,257.9,257.6,264.2,1.3,1.7,1.6,1.6
73,ARMENIA,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,1,0.7,1,0.9,1,0.4,0.7,1.6,1.1
74,ARMENIA,Americas,2,1,3,5,6,8,41,46,58,75,86,98,127,135,135,136,145,128.9,147,156.9,89.4,90.4,102.4,101.6,76
75,ARMENIA,East Asia and the Pacific,..,..,1,1,1,1,3,3,6,9,14,16,23,24,25,26,29,29.8,31,27.9,10.2,19.3,38.6,50.1,63.9
76,ARMENIA,Europe,8,11,16,23,27,25,48,80,99,127,160,203,278,308,311,351,375,605.7,702,811.9,922.4,937.7,1095.7,1269.4,1516.3
77,ARMENIA,Middle East,..,..,1,1,2,2,13,14,19,23,28,33,41,44,45,46,49,49.7,52,55.8,20.9,18.8,30,37,37.4
78,ARMENIA,South Asia,1,1,2,1,5,9,18,19,24,28,30,32,41,46,59,125,159,148.2,151,150.4,148.2,193.1,227.5,192.1,199.7
79,ARMENIA,Other not classified,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
81,ARUBA,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
82,ARUBA,Americas,565,582,588,595,629,670,643,595,585,665,666,630,703,749,735,746,785,820,898,987.6,1133,1001.7,970.2,983,1020.4
83,ARUBA,East Asia and the Pacific,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
84,ARUBA,Europe,52,55,57,49,49,47,45,44,55,60,63,62,67,74,75,76,81,80,77,80.2,80.6,86.7,90.6,89.7,93.3
85,ARUBA,Middle East,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
86,ARUBA,South Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
87,ARUBA,Other not classified,2,3,4,3,4,4,3,3,2,2,3,2,1,4,3,2,3,4,4,4.1,11.2,13.4,9.5,9,5
89,AUSTRALIA,Africa,43,53,58,72,72,79,73,68,70,68,71,78,85,93,81.7,86.6,89.1,82.4,81.1,84.3,84.7,87.1,89.6,95.1,94.9
90,AUSTRALIA,Americas,382,401,420,474,528,621,577,556,537,561,584,611,629,644,671,661,645,682.8,750.8,806,869.5,994.1,1095.8,1139.2,1173
91,AUSTRALIA,East Asia and the Pacific,2491,2843,2893,2584,2683,2912,2893,2924,2812,3205,3375,3315,3387,3244,3120.2,3404,3447.2,3649.5,3892.6,4204.1,4585.1,5155.7,5487,5752,5898
92,AUSTRALIA,Europe,762,811,888,965,1088,1212,1197,1198,1228,1261,1330,1368,1355,1381,1401.4,1389.8,1335.5,1345.9,1457,1488.9,1520.5,1596.2,1644,1689.8,1679.6
93,AUSTRALIA,Middle East,17,20,19,27,34,35,35,31,34,43,49,52,63,75,64.6,70.3,62.3,63,71,77.7,80.9,84.8,88.2,85.2,83.2
94,AUSTRALIA,South Asia,28,33,40,44,50,60,66,61,63,75,89,108,125,148,151.2,178.2,192,208.6,229.2,261,308.6,351.1,410.8,484.7,537.5
95,AUSTRALIA,Other not classified,3,4,1,2,4,13,14,3,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
97,AUSTRIA,Africa,22,22,23,33,33,36,36,26,27,32,42,43,40,40,39,45,52,58,61,63,72.4,77.8,77.3,82.2,80.4
98,AUSTRIA,Americas,673,707,719,828,767,934,788,647,599,674,692,780,756,673,617,708,743,806,860,919,1020.1,1012.8,1084.9,1157.9,1209.2
99,AUSTRIA,East Asia and the Pacific,477,515,530,500,535,624,576,594,619,755,792,797,747,706,645,741,915,1105,1227.4,1380.5,1739.7,1733,2047,2188.3,2313.5
100,AUSTRIA,Europe,15722,15570,15063,15680,15843,16084,16474,16984,17387,17467,18031,18265,18795,19993,19613,20043,20819,21599,22043,22242,23051,24427,25361.8,26488.9,27356.3
101,AUSTRIA,Middle East,22,20,26,25,25,29,33,28,38,43,68,75,91,102,97,120,160,218,268.4,302.5,419.2,382.2,384.1,392.5,384.4
102,AUSTRIA,South Asia,24,28,24,21,31,35,32,39,30,40,39,50,46,47,48,60,84,89,88,84.4,118.3,147.4,177.7,192.9,192.8
103,AUSTRIA,Other not classified,233,228,262,265,233,240,241,293,378,363,288,259,297,374,296,287,239,276,265,300,306.9,340.5,327.5,313.1,347.1
105,AZERBAIJAN,Africa,..,..,..,..,..,..,..,..,..,1,1,1,1,2,2,2,2,2.4,2.7,2.5,2.3,4.2,7.1,8.9,10.5
106,AZERBAIJAN,Americas,..,..,5,3,2,..,..,6,8,12,11,10,11,17,15,16,16,18.8,20.8,19.9,18.4,18.5,22.3,26.7,29.3
107,AZERBAIJAN,East Asia and the Pacific,..,..,..,..,..,..,..,3,4,6,7,7,8,16,14,15,15,15.8,19.6,20.1,19.5,22.6,30.1,43,59.2
